    184	2.022
    185	2.96
    186	2.029
    187	2.051
    188	2.943
    189	2.513
    190	2.676
    191	2.745
    192	2.565
    193	2.654
    194	2.301
    195	3.552
    196	1.899
    197	2.586
    198	2.632
    199	3.345
    200	2.325
    201	2.311
    202	3.212
    203	3.16
    204	3.275
    205	3.926
    206	3.312
    207	2.281
    208	2.925
    209	3.041
    210	2.671
    211	2.243
    212	2.772
    213	2.39
    214	3.987
    215	2.903
    216	2.568
    217	2.831
    218	3.324
    219	2.665
    220	3.402
    221	2.299
    222	2.417
    223	2.612
    224	3.474
    225	2.469
    226	2.481
    227	2.963
    228	2.655
    229	3.548
    230	3.664
    231	2.887
    232	3.388
    233	2.232
    234	3.128
    235	3.954
    236	3.356
    237	2.636
    238	3.162
    239	2.431
    240	2.396
    241	2.402
    242	2.77
    243	2.119
    244	1.931
    245	3.275
    246	2.721
    247	3.039
    248	3.274
    249	2.836
    250	2.615
    251	3.087
    252	3.574
    253	3.526
    254	3.457
    255	3.152
    256	2.88
    257	2.1
    258	2.45
    259	2.666
    260	2.809
    261	3.533
    262	2.065
    263	4.006
    264	3.499
    265	2.341
    266	3.27
    267	3.334
    268	3.019
    269	2.535
    270	2.503
    271	2.778
    272	2.549
    273	2.741
    274	2.332
    275	3.018
    276	2.75
    277	3.921
    278	4.226
    279	2.948
    280	3.045
    281	3.077
    282	2.902
    283	1.836
    284	2.662
    285	3.588
    286	3.187
    287	2.672
    288	1.956
    289	2.117
    290	3.55
    291	3.277
    292	3.046
    293	3.171
    294	3
    295	3.031
    296	2.756
    297	2.651
    298	3.993
    299	3.885
    300	4.182
    301	4.284
    302	3.117
    303	3.058
    304	3.08
    305	4.098
    306	3.046
    307	2.014
    308	2.548
    309	3.466
    310	2.117
    311	2.369
    312	3.344
    313	4.327
    314	2.562
    315	2.374
    316	3.996
    317	3.298
    318	4.631
    319	3.026
    320	2.724
    321	2.766
    322	2.606
    323	3.158
    324	3.014
    325	2.76
    326	3.228
    327	2.219
    328	2.253
    329	2.92
    330	3.143
    331	3.062
    332	2.615
    333	3.025
    334	3.115
    335	2.7
    336	3.864
    337	3.182
    338	2.935
    339	2.769
    340	3.677
    341	2.434
    342	2.998
    343	2.225
    344	3.572
    345	3.136
    346	3.45
    347	3.809
    348	4.083
    349	3.512
    350	2.568
    351	3.379
    352	2.923
    353	3.606
    354	3.672
    355	3.001
    356	3.26
    357	2.448
    358	3.145
    359	3.168
    360	2.745
    361	3.723
    362	3.178
    363	3.601
    364	1.764
    365	2.571
    366	3.362
    367	3.046
    368	2.844
    369	2.496
    370	2.803
    371	2.9
    372	3.375
    373	3.649
    374	2.61
    375	3.109
    376	3.833
    377	2.698
    378	2.897
    379	2.061
    380	3.051
    381	2.545
    382	3.333
    383	2.602
    384	2.104
    385	2.448
    386	3.039
    387	1.863
    388	2.819
    389	3.701
    390	3.333
    391	2.747
    392	3.574
    393	3.76
    394	2.333
    395	3.028
    396	3.81
    397	2.54
    398	3.61
