        i   k    gi    gj    mi  mj       ci     cj
145   394 662 2.333 2.170  90.0  86 129031.5 155120
146 14933 668 3.917 2.951 108.4  75 214227.0 214724
147  2393 670 2.378 2.316  93.5  86 123688.5 185270
148  7836 678 2.649 2.372  87.4  78 129350.0 160846
149 16919 691 4.285 3.379  44.1  32 133204.5 141757
150  5692 697 2.488 2.124 110.0 102 141550.5 192393
151   132 705 2.826 2.721  84.5  84 136337.5 153234
152 18368 714 3.076 2.423  83.8  77 133204.5 149161
153 17913 715 1.959 1.949 114.0 102 123500.0 124100
154 12964 717 3.504 3.076  64.6  54 144813.5 146363
155 16923 723 4.344 3.793  87.0  54 214474.0 231988
156 17363 724 2.606 2.581 101.8  92 137566.0 146787
157   891 729 2.529 2.299  36.0  36  47203.0  77862
158 11871 735 3.859 3.682  70.2  58 139704.5 188419
159 18853 738 2.681 2.398 144.0 133 213161.0 223391
160  6422 751 3.594 2.835  81.3  77 154004.5 156147
161 14887 757 3.923 3.769  64.1  50 144300.0 170688
162  2716 762 3.233 2.842  79.8  72 140335.0 203168
163  4768 765 2.387 2.094  64.8  59 127315.5 138326
164 10260 769 3.483 2.206  62.7  53 132899.0 145881
165   520 782 2.767 2.754  88.4  83 137559.5 141713
166  4908 788 3.383 2.804  64.4  59 122824.0 200654
167 10302 794 3.839 3.352 102.5  74 213063.5 213968
168 12180 795 3.461 3.159 108.0  64 214214.0 227355
169 18797 802 3.160 2.943  82.9  78 133133.0 137830
170  7267 811 3.501 2.522  63.0  62 122778.5 124417
171 19248 816 2.867 2.182  89.0  83 148024.5 148453
172 17709 825 3.150 2.856  57.8  47 128037.0 208177
173  9333 829 3.392 3.348  78.1  74 147368.0 191455
174 10977 830 3.107 2.766  82.5  80 145983.5 172345
175 14829 842 3.687 3.295  62.9  54 146627.0 147158
176  5565 843 2.485 2.391  89.4  84 129012.0 132664
177 10871 845 2.228 2.228 103.1 102 129259.0 188909
178  7376 846 2.425 2.380  88.4  84 124735.0 179070
179  5795 855 3.324 2.288  71.2  65 122804.5 127021
180  9790 856 3.755 3.521  59.0  46 121959.5 129630
181   411 857 2.476 2.158 120.2 117 164086.0 194112
182  4557 859 3.115 2.522  82.6  81 136454.5 148076
183  6435 863 3.713 2.322  69.4  61 125391.5 191678
184  6900 869 3.491 3.319  63.0  62 149500.0 150443
185  8360 870 3.675 3.021  81.6  78 155213.5 158879
186  8758 872 3.291 2.882  69.4  53 122427.5 180046
187  7694 876 2.109 1.968 106.7  90 146250.0 189405
188  2918 884 2.667 2.627  95.3  68 146250.0 156540
189 16663 886 4.182 3.981  86.5  82 217691.5 218255
190  8340 888 2.518 2.448  92.8  77 123974.5 130542
191 17778 889 2.110 1.374 124.5  83 153959.0 156036
192 11393 890 3.598 3.009  61.3  56 122700.5 143999
193  6400 915 2.912 2.617  67.7  65 125450.0 192404
194  6971 917 2.066 2.010 103.5  77 124943.0 156514
195  7144 925 3.597 2.990 109.0 106 214454.5 237779
196  3507 931 2.910 2.738  89.0  84 136207.5 140473
197  9067 933 2.562 2.515  78.0  64 123435.0 143778
198  7669 936 4.356 2.851  54.8  45 131111.5 134196
199 15613 940 2.868 2.805  79.7  79 123376.5 154639
200  6930 945 3.785 3.171  83.2  76 151976.5 188656
201  8302 949 3.498 3.442  76.6  73 144631.5 149301
202  9158 950 3.894 3.848  77.4  74 151554.0 161927
203  9258 952 3.878 2.702 101.5  85 214240.0 220557
204  4037 957 2.955 2.900  79.3  78 128752.0 174981
205 17450 958 2.870 2.854  89.4  81 144209.0 147081
206 11298 965 3.216 3.127  86.7  78 152100.0 181826
207 13246 967 2.695 2.679  90.1  90 156403.0 163473
208   355 968 3.001 2.744  78.9  78 136500.0 167747
209  2116 970 2.407 2.389  85.2  71 146250.0 159062
210 18817 971 3.184 3.138  85.2  84 136409.0 138166
211  5595 972 2.621 2.589  75.1  74 122707.0 136880
212  4877 973 2.197 2.083 105.7  66 153237.5 155582
213 17624 975 2.334 2.249 102.0 102 129304.5 143795
214  6395 981 3.982 3.645  69.4  68 123649.5 135765
215  9803 986 3.515 3.242  55.5  48 123409.0 157337
216  5813 993 3.446 3.393  79.6  60 142272.0 159465
217  8530 997 3.933 3.904 106.9  82 213050.5 214339
