"i"	"k"	"gi"	"gj"	"mi"	"mj"	"ci"	"cj"	"si"	"sj"
"14342"	"250"	"2.719"	"2.615"	"90.5"	"83"	"139360"	"178311"	"Hf"	"Hafnarfjordur Breidholt Gardabaer Kopavogur"
"17994"	"210"	"3.245"	"2.671"	"53.2"	"51"	"127465"	"128129"	"Mi"	"Seltjarnarnes Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"18033"	"258"	"2.61"	"2.45"	"106.3"	"96"	"139555"	"168052"	"Gv"	"Kopavogur Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Hafnarfjordur Mosfellsbaer"
"18389"	"276"	"3.31"	"2.75"	"84.6"	"83"	"147420"	"180423"	"Ko"	"Haaleiti Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Midbaer Gerdin Gardabaer Kopavogur Mosfellsbaer"
"18409"	"229"	"4.021"	"3.548"	"92.2"	"76"	"152210.5"	"183013"	"Ge"	"Haaleiti Hlidar LaugarneshverfiVogar Breidholt Fossvogur Gerdin Kopavogur"
"18608"	"228"	"2.705"	"2.655"	"92.4"	"90"	"133224"	"160883"	"Hf"	"Gardabaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Haaleiti Gerdin Kopavogur Hafnarfjordur"
"18660"	"252"	"3.71"	"3.574"	"76.1"	"76"	"142889.5"	"145381"	"LV"	"Hlutlaus"
"18937"	"234"	"3.484"	"3.128"	"75.3"	"61"	"138450"	"171250"	"Mo"	"Midbaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Arbaer Fossvogur Grafarvogur Haaleiti Gerdin Gardabaer Seltjarnarnes Kopavogur Mosfellsbaer"
"19553"	"227"	"3.375"	"2.963"	"83"	"80"	"135356"	"156046"	"Gh"	"Arbaer Vesturbaer Hlidar LaugarneshverfiVogar Breidholt Grafarholt Fossvogur Grafarvogur Midbaer Haaleiti Gerdin Gardabaer Kopavogur Mosfellsbaer"
"733"	"377"	"2.959"	"2.698"	"82.6"	"63"	"136227"	"142957"	"Hf"	"Hlutlaus"
"833"	"350"	"2.609"	"2.568"	"100.7"	"93"	"141147.5"	"185480"	"Hf"	"Hafnarfjordur Gardabaer"
