"nrhus";"nuvirdi";"teg_eign";"ibm2";"matssvaedi";"gaedi"
87;25313,6;"ibudareign";67;"Hafnarfjordur";3,741
88;38190,1;"ibudareign";99,7;"Kopavogur";3,618
89;22100;"ibudareign";95,8;"Hafnarfjordur";1,92
90;45901,7;"ibudareign";148,9;"LaugarneshverfiVogar";2,536
91;29209,7;"ibudareign";88;"Grafarvogur";3,081
92;34960,9;"ibudareign";93,3;"LaugarneshverfiVogar";3,477
93;23853,7;"ibudareign";82,7;"Haaleiti";2,506
94;47871,2;"einbylishus";159,9;"LaugarneshverfiVogar";2,735
96;31705,7;"ibudareign";95,2;"Haaleiti";2,781
97;25099,1;"ibudareign";70,9;"Hafnarfjordur";3,028
98;25123,8;"ibudareign";102,3;"Hafnarfjordur";2,38
99;28688,4;"ibudareign";105,1;"Hafnarfjordur";2,747
101;21296,6;"ibudareign";69,1;"LaugarneshverfiVogar";2,891
102;18350,8;"ibudareign";64,1;"Breidholt";2,51
103;23692,5;"ibudareign";66,2;"Vesturbaer";3,077
104;27406,6;"ibudareign";101,9;"Grafarvogur";2,333
105;41600;"ibudareign";123,8;"Seltjarnanes";2,582
106;34976,5;"ibudareign";87,6;"Midbaer";2,705
107;60238,1;"ibudareign";130,3;"Seltjarnanes";3,777
108;29510;"ibudareign";88,6;"LaugarneshverfiVogar";3,214
109;23813,4;"ibudareign";73;"Vesturbaer";2,68
110;23010;"ibudareign";47,3;"LaugarneshverfiVogar";4,295
111;29897,4;"ibudareign";97,4;"Grafarvogur";2,61
112;23987,6;"ibudareign";97,4;"Kopavogur";2,242
113;46532,2;"einbylishus";219,8;"LaugarneshverfiVogar";1,934
114;55450,2;"radhus";173,1;"Grafarvogur";3,109
115;46148,7;"ibudareign";122,7;"Fossvogur";3,217
116;34582,6;"ibudareign";94,7;"Gardabaer";3,608
117;70324,8;"ibudareign";210,3;"Midbaer";2,111
118;27852,5;"ibudareign";74,4;"Grafarvogur";3,228
119;37398,4;"ibudareign";115,2;"LaugarneshverfiVogar";2,878
120;23335;"ibudareign";105,2;"Arbaer";1,906
121;40043,9;"ibudareign";117,4;"Gerdin";3,516
122;29157,7;"ibudareign";82,7;"Hlidar";3,065
123;17630,6;"ibudareign";72;"Arbaer";1,993
124;27190,8;"ibudareign";125,7;"Arbaer";1,803
125;35748,7;"ibudareign";153,3;"Kopavogur";1,962
126;29143,4;"ibudareign";88,3;"Grafarvogur";3,032
127;28636,4;"ibudareign";85,2;"Grafarvogur";2,859
128;32425,9;"ibudareign";108,8;"Hafnarfjordur";2,814
129;16077,1;"ibudareign";37,6;"LaugarneshverfiVogar";3,945
130;36569;"ibudareign";84,8;"Fossvogur";3,998
131;37954,8;"ibudareign";108,8;"Midbaer";2,127
132;27267,5;"ibudareign";84,5;"LaugarneshverfiVogar";2,826
133;29396,9;"ibudareign";81,8;"Hafnarfjordur";2,982
134;31122;"ibudareign";102,9;"Gardabaer";2,866
135;47304,4;"einbylishus";115;"Gardabaer";3,484
136;20411,3;"ibudareign";78,1;"Kopavogur";2,505
137;51251,2;"ibudareign";134,3;"Kopavogur";3,683
138;27045,2;"ibudareign";103,2;"Hafnarfjordur";2,465
139;65678,6;"radhus";200,1;"LaugarneshverfiVogar";3,05
140;23032,1;"ibudareign";72,2;"Grafarvogur";2,919
141;56390,1;"radhus";159,5;"LaugarneshverfiVogar";3,432
142;39028,6;"ibudareign";91,5;"Midbaer";2,932
143;53062,1;"radhus";147,7;"Grafarvogur";3,212
144;41158;"ibudareign";136,4;"LaugarneshverfiVogar";2,712
145;22709,7;"ibudareign";80,9;"Midbaer";1,828
146;40042,6;"ibudareign";115,7;"Midbaer";2,002
147;17482,4;"ibudareign";56,8;"Kopavogur";2,458
148;27270,1;"ibudareign";85,5;"Kopavogur";3,038
149;50001,9;"ibudareign";161,2;"Kopavogur";2,528
150;26769,6;"ibudareign";86,6;"Kopavogur";2,882
151;54632,5;"ibudareign";104,5;"Seltjarnanes";4,764
152;32886,1;"ibudareign";114,3;"Grafarvogur";2,644
153;19890;"ibudareign";70,1;"Mosfellsbaer";2,677
154;22100;"ibudareign";51,2;"Gerdin";4,264
155;12071,8;"ibudareign";36,7;"Mosfellsbaer";3,002
156;30443,4;"ibudareign";88,7;"Midbaer";2,188
157;18276,7;"ibudareign";54,7;"Haaleiti";2,722
158;28860;"ibudareign";87,9;"Gerdin";3,906
159;97500;"einbylishus";242,1;"Seltjarnanes";3,587
160;30449,9;"ibudareign";98,8;"Grafarvogur";2,725
161;39201,5;"ibudareign";110,1;"Hafnarfjordur";3,322
162;44213;"radhus";161,4;"Hafnarfjordur";2,739
163;44383,3;"radhus";180,6;"Hafnarfjordur";2,421
164;66127,1;"einbylishus";196,2;"Hafnarfjordur";2,936
165;30293,9;"ibudareign";89,5;"Kopavogur";2,813
166;30379,7;"ibudareign";113;"Kopavogur";2,347
167;23726,3;"ibudareign";78,9;"Grafarvogur";2,86
168;67440,1;"radhus";193,5;"Seltjarnanes";2,622
169;19301,1;"ibudareign";69,8;"Hafnarfjordur";2,771
170;18848,7;"ibudareign";56,2;"Grafarvogur";3,029
171;23393,5;"ibudareign";72;"Midbaer";2,04
172;22989,2;"ibudareign";96,7;"Arbaer";2,105
173;28251,6;"ibudareign";73,2;"Vesturbaer";2,986
174;24823,5;"ibudareign";90,6;"Mosfellsbaer";2,654
175;22038,9;"ibudareign";76,9;"Gerdin";3,573
176;24653,2;"ibudareign";83,3;"Grafarvogur";2,809
177;68276;"radhus";219,5;"Gardabaer";2,714
178;35500,4;"ibudareign";103,1;"Hafnarfjordur";2,956
179;44778,5;"Parhus";151,9;"Hafnarfjordur";2,739
180;49780,9;"ibudareign";121,8;"Hafnarfjordur";3,993
181;30576;"ibudareign";103,3;"Kopavogur";2,708
182;33001,8;"ibudareign";92,8;"Kopavogur";3,363
183;39894,4;"ibudareign";153,2;"Kopavogur";2,204
184;37856;"einbylishus";169,2;"Kopavogur";2,022
185;65000;"radhus";185,5;"Fossvogur";2,96
186;22742,2;"ibudareign";98;"Hafnarfjordur";2,029
187;25763,4;"ibudareign";93,8;"Breidholt";2,051
188;32163,3;"ibudareign";88,1;"Kopavogur";2,943
189;34836,1;"ibudareign";122,3;"Kopavogur";2,513
190;37798,8;"ibudareign";133,7;"Kopavogur";2,676
191;29222,7;"ibudareign";93,9;"Arbaer";2,745
192;28572,7;"ibudareign";94,6;"LaugarneshverfiVogar";2,565
193;42829,8;"radhus";142,1;"LaugarneshverfiVogar";2,654
194;30540,9;"ibudareign";107;"Breidholt";2,301
195;29380;"ibudareign";81,5;"LaugarneshverfiVogar";3,552
196;36842;"ibudareign";141,1;"Hlidar";1,899
197;20671,3;"ibudareign";69,7;"LaugarneshverfiVogar";2,586
198;45277,7;"ibudareign";143,8;"LaugarneshverfiVogar";2,632
199;31865,6;"ibudareign";98,3;"Hafnarfjordur";3,345
200;52458,9;"einbylishus";183,7;"LaugarneshverfiVogar";2,325
201;28710,5;"ibudareign";78,6;"Midbaer";2,311
202;18185,7;"ibudareign";62,4;"Gerdin";3,212
203;53870,7;"ibudareign";103,9;"Midbaer";3,16
204;24937,9;"ibudareign";75,6;"Hafnarfjordur";3,275
205;68653;"einbylishus";142,4;"Gardabaer";3,926
206;14534;"ibudareign";40,2;"Kopavogur";3,312
207;69924,4;"einbylishus";237,9;"Breidholt";2,281
208;38963,6;"ibudareign";131,9;"Grafarvogur";2,925
209;37670,1;"ibudareign";122,1;"Grafarholt";3,041
210;21407,1;"ibudareign";73,5;"Grafarvogur";2,671
211;24442,6;"ibudareign";92,4;"Grafarvogur";2,243
212;23895,3;"ibudareign";77,7;"LaugarneshverfiVogar";2,772
213;24300,9;"ibudareign";92,8;"Hafnarfjordur";2,39
214;92053;"ibudareign";153,1;"Kopavogur";3,987
215;25031,5;"ibudareign";83,3;"Grafarvogur";2,903
216;26612,3;"ibudareign";91,5;"Hafnarfjordur";2,568
217;21677,5;"ibudareign";72,9;"Grafarvogur";2,831
218;48868,3;"ibudareign";147,2;"LaugarneshverfiVogar";3,324
219;23501,4;"ibudareign";78,8;"Hafnarfjordur";2,665
220;47435,7;"ibudareign";129,9;"Kopavogur";3,402
221;51324;"radhus";188,1;"Mosfellsbaer";2,299
222;65624;"einbylishus";240,2;"Mosfellsbaer";2,417
223;48987,9;"Parhus";162,4;"Mosfellsbaer";2,612
224;19740,5;"ibudareign";62,2;"Gerdin";3,474
225;26780;"ibudareign";92,5;"Hlidar";2,469
226;16380;"ibudareign";66,5;"Hafnarfjordur";2,481
227;37180;"ibudareign";117,7;"Hafnarfjordur";2,963
228;31681;"ibudareign";102,7;"Hafnarfjordur";2,655
229;35275,5;"ibudareign";92,1;"Kopavogur";3,548
230;34580;"ibudareign";92,1;"Kopavogur";3,664
231;32857,5;"ibudareign";105,4;"Kopavogur";2,887
232;31850;"ibudareign";84,5;"Kopavogur";3,388
233;36504;"ibudareign";149,6;"Kopavogur";2,232
234;74659;"einbylishus";218,5;"Kopavogur";3,128
235;57863;"ibudareign";132,7;"Gardabaer";3,954
236;35010,3;"ibudareign";104,1;"Hafnarfjordur";3,356
237;31023,2;"ibudareign";97,8;"Kopavogur";2,636
238;55792,1;"Parhus";154,2;"Kopavogur";3,162
239;26973,7;"ibudareign";95,7;"Grafarvogur";2,431
240;33538,7;"ibudareign";130,7;"Kopavogur";2,396
241;45012,5;"ibudareign";166,4;"Hafnarfjordur";2,402
242;27899,3;"ibudareign";83;"LaugarneshverfiVogar";2,77
243;31385,9;"ibudareign";87;"Midbaer";2,119
244;23818,6;"ibudareign";101,4;"Breidholt";1,931
245;27045,2;"ibudareign";87;"Grafarholt";3,275
246;27808,3;"ibudareign";82,2;"LaugarneshverfiVogar";2,721
247;73964,8;"radhus";213,7;"Gardabaer";3,039
248;26629,2;"ibudareign";76,6;"Hafnarfjordur";3,274
249;29477,5;"ibudareign";101,4;"Kopavogur";2,836
250;19488,3;"ibudareign";64,9;"Kopavogur";2,615
251;39910;"ibudareign";114;"Kopavogur";3,087
252;26614,9;"ibudareign";70,5;"Kopavogur";3,574
253;26995,8;"ibudareign";70,5;"Kopavogur";3,526
254;27056,9;"ibudareign";70,5;"Kopavogur";3,457
255;34386,3;"ibudareign";103,6;"Grafarvogur";3,152
256;24237,2;"ibudareign";68,2;"Vesturbaer";2,88
257;15822,3;"ibudareign";44,9;"Midbaer";2,1
258;55252,6;"radhus";208,4;"LaugarneshverfiVogar";2,45
259;29710,2;"ibudareign";96,2;"Grafarvogur";2,666
260;38966,2;"ibudareign";103,2;"Hlidar";2,809
262;30340,7;"ibudareign";115,1;"Arbaer";2,065
263;60613,8;"radhus";139;"LaugarneshverfiVogar";4,006
264;33571,2;"ibudareign";97,6;"Grafarvogur";3,499
265;31068,7;"ibudareign";113,6;"Hlidar";2,341
266;23688,6;"ibudareign";48,7;"Midbaer";3,27
267;60388,9;"radhus";179,8;"Grafarholt";3,334
268;26975;"ibudareign";88,4;"Grafarvogur";3,019
269;22920,3;"ibudareign";57,3;"Midbaer";2,535
270;28224,3;"ibudareign";65,5;"Midbaer";2,503
271;30540,9;"ibudareign";94,2;"Grafarvogur";2,778
272;24592,1;"ibudareign";79,4;"LaugarneshverfiVogar";2,549
273;24898,9;"ibudareign";87,5;"Hafnarfjordur";2,741
274;21407,1;"ibudareign";79,2;"Hafnarfjordur";2,332
275;25374,7;"ibudareign";76,7;"Hafnarfjordur";3,018
276;35542;"ibudareign";114;"Gardabaer";2,75
277;56349,8;"einbylishus";136,6;"Hafnarfjordur";3,921
278;28597,4;"ibudareign";61,6;"Kopavogur";4,226
279;57443,1;"radhus";184,8;"Kopavogur";2,948
280;65863,2;"radhus";196,2;"Fossvogur";3,045
281;26967,2;"ibudareign";82,4;"Grafarholt";3,077
282;32804,2;"ibudareign";111;"Mosfellsbaer";2,902
283;32667,7;"radhus";155;"Mosfellsbaer";1,836
284;37736,4;"ibudareign";122;"Gardabaer";2,662
285;52205,4;"einbylishus";138,8;"Grafarvogur";3,588
286;41389,4;"ibudareign";110,3;"Hlidar";3,187
287;24050;"ibudareign";73,4;"LaugarneshverfiVogar";2,672
288;35162,4;"ibudareign";108,4;"Midbaer";1,956
289;22880;"ibudareign";84,6;"Arbaer";2,117
290;20108,4;"ibudareign";47,7;"LaugarneshverfiVogar";3,55
291;44618,6;"ibudareign";124,7;"Kopavogur";3,277
292;17739,8;"ibudareign";47,7;"Kopavogur";3,046
293;42524,3;"ibudareign";115,5;"Kopavogur";3,171
294;41472,6;"ibudareign";123,2;"Fossvogur";3
295;47502;"ibudareign";121,2;"Hlidar";3,031
296;27748,5;"ibudareign";93,2;"Mosfellsbaer";2,756
297;31944,9;"radhus";107,5;"Hafnarfjordur";2,651
298;95076,8;"ibudareign";172,4;"Kopavogur";3,993
300;62336,3;"ibudareign";140,8;"Kopavogur";4,182
301;51376;"ibudareign";107,5;"Kopavogur";4,284
302;34221,2;"ibudareign";101,7;"Mosfellsbaer";3,117
303;21814;"ibudareign";66,3;"Grafarholt";3,058
304;22217;"ibudareign";67,8;"Haaleiti";3,08
305;33150;"ibudareign";77,5;"Gerdin";4,098
306;49030,8;"ibudareign";112,7;"Midbaer";3,046
307;23255,7;"ibudareign";102,9;"LaugarneshverfiVogar";2,014
308;24511,5;"ibudareign";82,3;"Grafarvogur";2,548
309;27112,8;"ibudareign";91,4;"Gerdin";3,466
310;25990,9;"ibudareign";100,7;"Arbaer";2,117
311;21139,3;"ibudareign";79,5;"LaugarneshverfiVogar";2,369
312;37482,9;"ibudareign";113,6;"Grafarholt";3,344
314;21395,4;"ibudareign";67,9;"Haaleiti";2,562
315;28966,6;"ibudareign";103,7;"Haaleiti";2,374
316;63213,8;"einbylishus";159,8;"Grafarvogur";3,996
317;29252,6;"ibudareign";78,8;"Hafnarfjordur";3,298
318;57723,9;"radhus";112,7;"Gardabaer";4,631
319;24945,7;"ibudareign";78,5;"Hafnarfjordur";3,026
320;38090;"ibudareign";128,9;"Hafnarfjordur";2,724
321;36224,5;"ibudareign";119,8;"Hafnarfjordur";2,766
322;30504,5;"ibudareign";100;"Hafnarfjordur";2,606
323;33372,3;"ibudareign";97,8;"Kopavogur";3,158
324;29959,8;"ibudareign";84,3;"Mosfellsbaer";3,014
325;53093,3;"ibudareign";126,9;"Midbaer";2,76
326;27747,2;"ibudareign";93,7;"Gerdin";3,228
327;15587;"ibudareign";62,6;"Hafnarfjordur";2,219
328;22622,6;"ibudareign";89,5;"Hafnarfjordur";2,253
329;36969,4;"ibudareign";87,1;"Midbaer";2,92
330;21057,4;"ibudareign";61,2;"Grafarvogur";3,143
331;49307,7;"ibudareign";100,3;"Midbaer";3,062
332;23990,2;"Parhus";69,1;"Breidholt";2,615
333;44122;"einbylishus";99,6;"Midbaer";3,025
334;20541,3;"ibudareign";65,1;"Hafnarfjordur";3,115
335;35204;"ibudareign";120,1;"Hafnarfjordur";2,7
336;28449,2;"ibudareign";78,2;"Grafarholt";3,864
337;24908;"ibudareign";75;"Hafnarfjordur";3,182
338;35900,8;"ibudareign";119,1;"Grafarholt";2,935
339;46762,3;"ibudareign";157,2;"LaugarneshverfiVogar";2,769
340;57297,5;"einbylishus";135,3;"Gardabaer";3,677
341;17907,5;"ibudareign";69;"Hafnarfjordur";2,434
342;48193,6;"radhus";165,5;"Hafnarfjordur";2,998
343;14771,9;"ibudareign";53,9;"Kopavogur";2,225
344;42099,2;"ibudareign";115,5;"Kopavogur";3,572
345;31439,2;"ibudareign";88,9;"Kopavogur";3,136
346;40544,4;"ibudareign";94,4;"LaugarneshverfiVogar";3,45
347;24618,1;"ibudareign";43,7;"Vesturbaer";3,809
348;22353,5;"ibudareign";52;"LaugarneshverfiVogar";4,083
349;27674,4;"ibudareign";78,5;"Hafnarfjordur";3,512
350;31170,1;"ibudareign";108,1;"Kopavogur";2,568
351;45700,2;"ibudareign";111,4;"Kopavogur";3,379
352;34756,8;"ibudareign";102;"Kopavogur";2,923
353;17020,9;"ibudareign";44,9;"Kopavogur";3,606
354;43271,8;"ibudareign";112,3;"Kopavogur";3,672
355;27300;"ibudareign";78,9;"Kopavogur";3,001
356;30959,5;"ibudareign";87;"Kopavogur";3,26
357;34442,2;"ibudareign";120,6;"Hafnarfjordur";2,448
358;33550,4;"ibudareign";102,2;"Kopavogur";3,145
359;44954;"ibudareign";120,9;"Kopavogur";3,168
360;44801,9;"ibudareign";145,2;"LaugarneshverfiVogar";2,745
361;34131,5;"ibudareign";71,3;"LaugarneshverfiVogar";3,723
362;43163,9;"ibudareign";124,7;"Kopavogur";3,178
363;85208,5;"ibudareign";176,4;"Kopavogur";3,601
364;16680,3;"ibudareign";75,5;"Breidholt";1,764
365;30140,5;"ibudareign";101,9;"Grafarvogur";2,571
366;53209;"ibudareign";108,4;"Midbaer";3,362
367;55846,7;"radhus";152,6;"Haaleiti";3,046
368;18034,9;"ibudareign";59,1;"LaugarneshverfiVogar";2,844
369;18890,3;"ibudareign";66,4;"Breidholt";2,496
370;34043,1;"ibudareign";121,3;"Grafarvogur";2,803
371;31483,4;"ibudareign";105,9;"Mosfellsbaer";2,9
372;44149,3;"einbylishus";122,6;"Hafnarfjordur";3,375
373;48874,8;"ibudareign";123;"Gardabaer";3,649
374;14942,2;"ibudareign";48,8;"Hafnarfjordur";2,61
375;52534,3;"radhus";150,1;"Hafnarfjordur";3,109
376;68461,9;"radhus";158;"Gardabaer";3,833
377;27833;"ibudareign";92;"Hafnarfjordur";2,698
378;36669,1;"ibudareign";108,5;"Hafnarfjordur";2,897
379;17466,8;"ibudareign";78,1;"Kopavogur";2,061
380;46391,8;"ibudareign";137,7;"Hafnarfjordur";3,051
381;44200;"ibudareign";102;"Midbaer";2,545
382;47661,9;"einbylishus";137,8;"Mosfellsbaer";3,333
383;26622,7;"ibudareign";64,4;"Midbaer";2,602
384;22425;"ibudareign";78,7;"Hlidar";2,104
385;33933,9;"ibudareign";117,3;"Grafarvogur";2,448
386;15966,6;"ibudareign";48;"LaugarneshverfiVogar";3,039
387;21169,2;"ibudareign";91,1;"Breidholt";1,863
388;13260;"ibudareign";41,5;"LaugarneshverfiVogar";2,819
389;31898,1;"ibudareign";87,3;"Hafnarfjordur";3,701
390;33374,9;"ibudareign";94,7;"Gardabaer";3,333
391;37620,7;"ibudareign";112,9;"Kopavogur";2,747
392;62760,1;"ibudareign";145,7;"Kopavogur";3,574
393;68503,5;"ibudareign";142,6;"Kopavogur";3,76
394;25806,3;"ibudareign";90;"Kopavogur";2,333
395;30895,8;"ibudareign";94,5;"Kopavogur";3,028
396;59134,4;"ibudareign";145,7;"Kopavogur";3,81
397;27846;"ibudareign";92,8;"Kopavogur";2,54
398;45765,2;"ibudareign";113,8;"Fossvogur";3,61
399;16819,4;"ibudareign";39,4;"Midbaer";3,056
400;47525,4;"einbylishus";137,7;"Gerdin";3,403
401;20894,9;"ibudareign";69,4;"Hafnarfjordur";2,801
402;27058,2;"ibudareign";77,5;"Hafnarfjordur";3,444
403;58875,7;"Parhus";122,9;"Kopavogur";4,177
404;23375,3;"ibudareign";77,7;"Grafarvogur";2,811
405;24700;"ibudareign";102,6;"Haaleiti";2,085
406;24581,7;"ibudareign";83,3;"Grafarvogur";3,041
407;17420;"ibudareign";78,1;"Kopavogur";1,888
408;17180,8;"ibudareign";65;"Hafnarfjordur";2,533
409;49957,7;"ibudareign";107,5;"Kopavogur";3,79
410;63700;"ibudareign";153,8;"Kopavogur";3,839
411;32817,2;"ibudareign";120,2;"Kopavogur";2,476
412;33342,4;"ibudareign";84,6;"Kopavogur";3,594
413;36400;"radhus";131,1;"Gerdin";3,01
414;21964,8;"ibudareign";69,2;"Haaleiti";2,66
415;23071,1;"ibudareign";83,5;"Kopavogur";2,242
416;25052,3;"ibudareign";76,9;"Grafarvogur";3,299
417;18955,3;"ibudareign";69,1;"LaugarneshverfiVogar";2,625
418;28563,6;"ibudareign";99,8;"Haaleiti";2,318
419;42031,6;"ibudareign";73,4;"Midbaer";3,737
420;29705;"ibudareign";94,7;"LaugarneshverfiVogar";3,087
421;36123,1;"ibudareign";102,4;"Gardabaer";3,308
422;35087;"ibudareign";119;"Hafnarfjordur";2,623
423;15362,1;"ibudareign";54,3;"Hafnarfjordur";2,384
424;25344,8;"ibudareign";87,8;"Mosfellsbaer";2,508
425;39070,2;"ibudareign";98,1;"Gardabaer";3,298
426;29274,7;"ibudareign";93,5;"Mosfellsbaer";3,034
427;30145,7;"ibudareign";87,1;"Hafnarfjordur";3,178
428;19490,9;"ibudareign";55,9;"LaugarneshverfiVogar";3,061
429;38203,1;"ibudareign";99,9;"Midbaer";2,503
430;26074,1;"ibudareign";94,9;"Seltjarnanes";2,003
431;52622,7;"einbylishus";180,3;"Gerdin";3,249
432;28844,4;"ibudareign";79,2;"Vesturbaer";2,979
433;29370,9;"ibudareign";91,4;"Hafnarfjordur";2,741
434;28914,6;"ibudareign";74;"LaugarneshverfiVogar";3,404
435;45806,8;"ibudareign";102,4;"Midbaer";3,131
436;37674;"ibudareign";134,3;"Kopavogur";2,335
437;23877,1;"ibudareign";89,6;"Haaleiti";2,563
438;27259,7;"ibudareign";67,5;"Midbaer";2,595
439;31717,4;"ibudareign";111,4;"Grafarholt";2,537
440;55893,5;"Parhus";142,1;"Kopavogur";3,667
441;55822;"ibudareign";184,5;"Kopavogur";2,875
442;58474;"Parhus";187,8;"Kopavogur";2,638
443;26754;"ibudareign";90;"Kopavogur";2,714
444;58401,2;"einbylishus";147,5;"Kopavogur";3,537
445;58175;"ibudareign";140,8;"Kopavogur";3,853
446;35750;"ibudareign";99;"Midbaer";2,09
447;20618;"ibudareign";50;"LaugarneshverfiVogar";3,995
448;29794,7;"ibudareign";96,1;"Gerdin";3,647
449;27266,2;"ibudareign";117,7;"Breidholt";1,764
450;16351,4;"ibudareign";52,6;"Kopavogur";2,532
451;41470;"ibudareign";114;"LaugarneshverfiVogar";3,091
452;25179,7;"ibudareign";67;"Hafnarfjordur";3,502
453;30122,3;"ibudareign";97,9;"Gardabaer";2,517
454;71472,7;"radhus";219,5;"Gardabaer";2,733
455;31874,7;"ibudareign";138,7;"Gardabaer";2,07
456;27675,7;"ibudareign";70,3;"Kopavogur";3,802
457;28198,3;"ibudareign";70,3;"Kopavogur";3,507
458;35874,8;"ibudareign";162,8;"Breidholt";1,78
459;55974,1;"ibudareign";175,7;"Breidholt";2,674
460;15564,9;"ibudareign";51,4;"Midbaer";1,736
461;30934,8;"ibudareign";84,4;"Hafnarfjordur";3,644
462;32195,8;"ibudareign";94,4;"Hafnarfjordur";2,944
463;45258,2;"Parhus";213,1;"Mosfellsbaer";1,855
