"nrhus";"nuvirdi";"teg_eign";"byggar";"ibm2";"fjherb";"matssvaedi";"gaedi"
"307";23255.7;"Íbúðareign";1966;102.9;3;"Laugarneshverfi/Vogar";2.014
"308";24511.5;"Íbúðareign";1987;82.3;2;"Grafarvogur";2.548
"309";27112.8;"Íbúðareign";1957;91.4;3;"Gerðin";3.466
"310";25990.9;"Íbúðareign";1968;100.7;3;"Árbær";2.117
"311";21139.3;"Íbúðareign";1960;79.5;1;"Laugarneshverfi/Vogar";2.369
"312";37482.9;"Íbúðareign";2003;113.6;3;"Grafarholt";3.344
"313";132081.3;"Íbúðareign";2009;204.9;2;"Seltjarnanes";4.327
"314";21395.4;"Íbúðareign";1963;67.9;2;"Háaleiti";2.562
"315";28966.6;"Íbúðareign";1963;103.7;3;"Háaleiti";2.374
"316";63213.8;"Einbýlishús";1985;159.8;4;"Grafarvogur";3.996
"317";29252.6;"Íbúðareign";2003;78.8;2;"Hafnarfjörður";3.298
"318";57723.9;"Raðhús";2001;112.7;2;"Garðabær";4.631
"319";24945.7;"Íbúðareign";2008;78.5;1;"Hafnarfjörður";3.026
"320";38090;"Íbúðareign";2004;128.9;3;"Hafnarfjörður";2.724
"321";36224.5;"Íbúðareign";2004;119.8;3;"Hafnarfjörður";2.766
"322";30504.5;"Íbúðareign";2003;100;3;"Hafnarfjörður";2.606
"323";33372.3;"Íbúðareign";2006;97.8;2;"Kópavogur";3.158
"324";29959.8;"Íbúðareign";2007;84.3;2;"Mosfellsbær";3.014
"325";53093.3;"Íbúðareign";1923;126.9;3;"Miðbær";2.76
"326";27747.2;"Íbúðareign";1961;93.7;3;"Gerðin";3.228
"327";15587;"Íbúðareign";1951;62.6;1;"Hafnarfjörður";2.219
"328";22622.6;"Íbúðareign";1940;89.5;3;"Hafnarfjörður";2.253
"329";36969.4;"Íbúðareign";2004;87.1;1;"Miðbær";2.92
"330";21057.4;"Íbúðareign";1987;61.2;1;"Grafarvogur";3.143
"331";49307.7;"Íbúðareign";1939;100.3;2;"Miðbær";3.062
"332";23990.2;"Parhús";1985;69.1;1;"Breiðholt";2.615
"333";44122;"Einbýlishús";1933;99.6;2;"Miðbær";3.025
"334";20541.3;"Íbúðareign";1988;65.1;1;"Hafnarfjörður";3.115
"335";35204;"Íbúðareign";2004;120.1;3;"Hafnarfjörður";2.7
"336";28449.2;"Íbúðareign";2004;78.2;2;"Grafarholt";3.864
"337";24908;"Íbúðareign";2008;75;1;"Hafnarfjörður";3.182
"338";35900.8;"Íbúðareign";2003;119.1;4;"Grafarholt";2.935
"339";46762.3;"Íbúðareign";1959;157.2;4;"Laugarneshverfi/Vogar";2.769
