"nrhus"	"nuvirdi"	"ibm2"	"gaedi"
590	36168.6	124.3	2.14
591	24013.6	72.7	2.428
592	22733.1	55.7	2.606
593	22319.7	68	2.947
594	63671.4	180.1	2.853
595	38990.9	100	3.769
596	22835.8	62.6	4.033
597	12342.2	42.6	2.629
598	46640.1	190.6	2.503
599	56036.5	142	3.801
600	21840	73.7	2.403
601	33763.6	90.6	3.227
602	46020	152.1	2.729
603	71446.7	181.7	3.294
604	27653.6	96.6	2.909
605	27654.9	81.9	3.395
606	31443.1	127.5	2.034
607	22997	61.2	3.196
608	22353.5	72.7	2.7
609	22100	88.6	2.16
610	20866.3	51.2	2.538
611	26334.1	86.2	2.745
612	23121.8	66.3	3.248
613	22738.3	60.3	3.399
614	28372.5	101.7	2.411
615	25195.3	87.6	2.831
616	29714.1	93.8	2.972
617	23257	66.1	3.144
618	53235	117.7	4.109
619	48230	191.2	2.094
620	28782	112.2	2.543
621	23311.6	63.4	3.538
622	26000	83	2.679
623	47339.5	139.9	2.676
624	22154.6	61.9	3.038
625	44933.2	85.3	3.55
626	18525	78.1	1.969
627	19516.9	83.2	1.946
628	27069.9	81.2	2.646
629	27344.2	73	3.712
630	59096.7	153.7	3.796
631	53959.1	184.7	2.548
632	49643.1	135.9	3.219
633	34959.6	111.5	2.549
634	33020	79.8	3.877
635	36829	118.3	3.029
636	30686.5	103.2	2.938
637	20829.9	64.7	2.929
638	34429.2	110.4	2.665
639	51714	139.1	3.751
640	41590.9	86	4.544
641	22336.6	62.4	2.939
642	48568	157.6	2.956
643	31668	101.5	2.775
644	30644.9	80.2	3.673
645	27437.8	84.3	2.941
646	19266	48.4	2.41
647	30940	63.7	4.776
648	58029.4	163.3	3.222
649	28421.9	87	3.485
650	19221.8	50.3	2.899
651	34546.2	125	2.315
652	18837	64	2.384
653	26811.2	81.4	2.684
654	19370	78.1	2.153
655	21931	48.1	2.804
656	72160.4	226.1	4.006
657	31051.8	121.4	2.15
658	24524.5	76.7	3.029
659	33287.8	110.6	2.643
660	22594	66.9	3.023
661	30576	88.7	3.302
662	21309.6	84.5	2.17
663	43044.3	120.5	3.057
664	62262.2	140.5	3.815
665	42465.8	120.4	3.332
666	18395	51.4	3.401
667	41460.9	165.4	2.309
668	32814.6	96.9	2.951
669	56247.1	143.3	3.306
670	21938.8	57.2	2.316
671	24272.3	76.3	3.046
672	28696.2	87.4	3.077
673	33415.2	99.3	2.772
674	27873.3	96.8	2.401
675	42116.1	141.4	3.743
676	84064.5	235.8	3.042
677	56083.3	154.3	3.131
678	33764.9	117.3	2.372
679	38005.5	157.4	2.971
680	21136.7	60.2	2.217
681	30030	110.8	2.637
682	21541	76	2.169
683	30501.9	77.5	4.246
684	57229.9	179.1	3.343
685	37625.9	125.5	2.984
686	30875	80.3	2.607
687	22717.5	89.4	2.272
688	53804.4	157.1	3.089
689	45848.4	149.5	2.667
690	28064.4	90	3.016
691	23286.9	81.2	3.379
692	21448.7	60.4	2.686
693	16872.7	49	3.532
694	33112.3	99.7	3.391
695	25188.8	56.2	3.485
696	23393.5	110.6	1.729
697	22077.9	91.3	2.124
698	29303.3	73	3.949
699	34303.1	115.1	2.818
700	17550	46.2	3.204
701	45432.4	129.4	3.174
702	26146.9	87.4	2.656
703	21613.8	62.7	2.891
704	66281.8	181.7	3.239
705	27170	101.9	2.721
706	44525	144.5	2.931
707	33662.2	76.9	3.199
708	27514.5	79.7	3.46
709	32956.3	88.5	3.118
710	46927.4	104.5	4.166
711	30400.5	102.6	2.686
712	18500.3	54.1	3.229
713	34903.7	92.8	3.137
714	82624.1	279.4	2.423
715	24528.4	77	1.949
716	38495.6	138.4	2.301
717	30399.2	70	3.076
718	23660	83	2.801
719	28064.4	69.6	3.248
720	30468.1	88.9	3.024
721	19685.9	74.2	2.398
722	58047.6	132.8	4.215
723	60500.7	140.8	3.793
724	37553.1	120.2	2.581
725	23158.2	79.5	2.496
726	39248.3	131.7	3.689
727	20324.2	64.3	2.805
728	24524.5	101.9	2.202
729	26975	78	2.299
730	11941.8	35.5	2.946
731	44770.7	139.4	2.313
732	32890	94.6	3.391
733	27245.4	82.6	2.959
734	37025.3	125.1	2.684
735	30821.7	75.2	3.682
736	30778.8	85	3.135
737	38403.3	79.1	3.114
738	31525	108.5	2.398
739	23903.1	103.5	1.737
740	31692.7	90.9	2.943
741	33757.1	74.8	2.691
742	27059.5	96.8	2.127
743	31943.6	107.1	2.614
744	30919.2	61.6	2.95
745	18842.2	37.4	3.063
746	34409.7	120.1	2.636
747	38318.8	93.1	2.826
748	15280.2	40.5	2.923
749	32266	86.4	3.375
750	24542.7	81.7	2.583
751	26611	74.9	2.835
752	48357.4	100	4.198
753	22960.6	51.2	3.964
754	25454	71.8	2.989
755	27778.4	59.4	2.911
756	29182.4	77.6	3.031
757	24690.9	61	3.769
758	25981.8	90.3	2.46
759	28636.4	92.5	3.075
760	18049.2	71.5	2.513
761	28064.4	78.6	3.39
762	54342.6	183.9	2.842
763	20660.9	82.7	2.251
764	24050	74.1	2.848
765	23679.5	100.2	2.094
766	33940.4	119	2.809
767	26026	72.5	3.07
768	75437.7	255	2.72
769	37476.4	149.5	2.206
770	48061	122	3.727
771	31766.8	91.7	3.355
772	55554.2	151.3	2.926
773	21912.8	89.9	2.036
774	31122	122.7	2.22
775	45373.9	120.2	3.484
776	20979.4	64.6	3.225
777	17104.1	47.6	3.088
778	28276.3	83.5	3.002
779	27510.6	92.5	2.632
780	19922.5	57.7	3.193
781	35490	111	3.147
782	31053.1	101.6	2.754
783	26910	101.8	2.327
784	37658.4	188.8	1.7
785	77634.7	153.1	3.464
786	89801.4	142.3	4.45
787	89108.5	218.9	3.478
788	25126.4	72.3	2.804
789	31175.3	84.9	3.521
790	37681.8	104	3.224
791	18254.6	60.4	2.765
792	18538	41.4	3.605
793	27294.8	106.5	3.14
794	69451.2	167.7	3.352
795	56115.8	150.8	3.159
796	87092.2	185.3	4.392
797	53965.6	171.7	2.99
798	28285.4	94.6	2.655
799	28810.6	76.4	3.797
800	24020.1	92.7	2.175
801	28957.5	80.9	2.322
802	81863.6	220	2.943
803	37547.9	113	3.037
804	39542.1	123.1	2.929
805	24167	89.5	2.229
806	31558.8	104.4	2.871
807	44523.7	103.9	4.001
808	36328.5	94.1	3.029
809	27931.8	82	2.807
810	28965.3	100.4	2.495
811	42702.4	142.2	2.522
812	18840.9	51.8	2.85
813	35064.9	95.7	3.643
814	18606.9	50	3.159
815	24177.4	81.9	2.744
816	19406.4	76.6	2.182
817	52135.2	137.8	3.276
818	23874.5	80.8	2.861
