"nrhus"	"nuvirdi"	"teg_eign"	"ibm2"	"matssvaedi"	"gaedi"
"15010"	15010	65894.4	"ibudareign"	116.9	"Seltjarnanes"	4.2
"15092"	15092	37004.5	"ibudareign"	86.5	"Kopavogur"	3.75
"15099"	15099	48523.8	"ibudareign"	91.7	"Fossvogur"	4.579
"15186"	15186	84446.7	"einbylishus"	167	"Kopavogur"	4.285
"15314"	15314	57158.4	"ibudareign"	102.2	"Midbaer"	3.349
"15420"	15420	28191.8	"ibudareign"	62.2	"Breidholt"	2.88
"15470"	15470	42364.4	"ibudareign"	73.1	"Gardabaer"	4.605
"15476"	15476	54545.4	"ibudareign"	104.5	"Breidholt"	3.34
"15670"	15670	39743.6	"ibudareign"	95.1	"Grafarvogur"	3.883
"15796"	15796	39439.4	"ibudareign"	86.5	"Kopavogur"	3.994
"15926"	15926	86801	"ibudareign"	263.3	"Hlidar"	2.76
"15985"	15985	49224.5	"ibudareign"	91.7	"Fossvogur"	4.286
"16036"	16036	42250	"ibudareign"	99.3	"Mosfellsbaer"	3.545
"16129"	16129	48412	"ibudareign"	79.8	"Midbaer"	3.921
"16271"	16271	65000	"einbylishus"	145	"Breidholt"	2.971
"16380"	16380	35812.4	"ibudareign"	84.2	"Mosfellsbaer"	3.821
"16463"	16463	55447.6	"ibudareign"	124	"Kopavogur"	3.745
"16629"	16629	40740.7	"ibudareign"	96.2	"Hafnarfjordur"	3.884
"16670"	16670	28470	"ibudareign"	70.2	"Breidholt"	3.095
"16715"	16715	36449.4	"ibudareign"	80.4	"Grafarvogur"	3.576
"16824"	16824	55079.7	"ibudareign"	119.7	"Kopavogur"	4.031
"16866"	16866	22739.6	"ibudareign"	47.3	"Hafnarfjordur"	3.569
"16920"	16920	35100	"ibudareign"	86	"Hafnarfjordur"	4.002
"17078"	17078	88956.4	"ibudareign"	147.2	"Kopavogur"	4.008
"17105"	17105	35469.2	"ibudareign"	64.6	"Midbaer"	3.526
"17250"	17250	58617	"ibudareign"	119.7	"Kopavogur"	4.062
"17355"	17355	29829.8	"ibudareign"	98.7	"Mosfellsbaer"	2.775
"17635"	17635	17919.2	"ibudareign"	57.7	"LaugarneshverfiVogar"	2.974
"17655"	17655	19760	"ibudareign"	57.4	"Kopavogur"	3.222
"17691"	17691	23132.2	"ibudareign"	66.5	"Gerdin"	3.446
"17738"	17738	25964.9	"ibudareign"	101	"Hafnarfjordur"	2.209
"17739"	17739	28323.1	"ibudareign"	80.8	"Hafnarfjordur"	3.111
"17855"	17855	23926.5	"ibudareign"	73.4	"Vesturbaer"	2.419
"17929"	17929	29484	"ibudareign"	104.4	"Kopavogur"	2.285
"18061"	18061	45376.5	"ibudareign"	119.6	"Kopavogur"	3.613
"18580"	18580	31200	"ibudareign"	98.6	"Kopavogur"	2.799
"18624"	18624	20234.5	"ibudareign"	61.7	"LaugarneshverfiVogar"	2.643
"18816"	18816	29361.8	"ibudareign"	87.4	"Kopavogur"	3.069
"18899"	18899	53341.6	"ibudareign"	172.1	"Kopavogur"	2.465
"19184"	19184	38438.4	"ibudareign"	132.2	"Hafnarfjordur"	2.76
"19333"	19333	23940.8	"ibudareign"	64.1	"LaugarneshverfiVogar"	3.1
"19387"	19387	21775	"ibudareign"	82	"Breidholt"	2.094
"19426"	19426	28572.7	"ibudareign"	75.3	"Gardabaer"	3.183
"19670"	19670	17100.2	"ibudareign"	55.8	"Hafnarfjordur"	2.622
